#,ID,DeliveryDate,DeliveryReference,Supplier_Name,ASN_Number,Expected_Cases,Expected_Lines,Estimated_Pallets,Estimated_Cages,Estimated_Totes,Cartons_Due,Pallets_Due,Ready_Label,Palletise,Wrap_Strap,Collar,Bagging_Required,Actual_Cases,Calc_Hours,Pallets_Arrived,Cartons_Arrived,Grid_No,Last_Saved,Total_Operatives,Total_Hours,Origin,Due_Time,SHIFT,PalletsCreated,CagesCreated,TotesCreated,NonEuroPallet,Supplier_Code,Delivery_Comments,StartTAGID,UpdatedByUsername,UpdatedByEmpNo,UpdatedByName,TotalShortRows,TotalExtraRows,GRID_SHIFT,LOCK_STATUS,STATUS,
1,1,07/09/2018 00:00,39146,U-POL LTD (PAINT),Y0152838,3846,17,89,0,52,0,18,YES,YES,YES,YES,YES,3846,22,30,100,202,05/10/2018 21:18,5,0,UK,18:00:00,LATE,98,97,0,,UPO2506,yes ,0,giuser,1,gi user,,,,,CLEAR,
2,2,07/09/2018 00:00,39154,HUTCHINSON,Y0152575,407,20,0,2,13,0,1,NO,YES,NO,NO,NO,407,3,229,236,281,31/10/2018 23:56,4,0,France,13:00:00,DAY,0,0,0,,HUT0201,,0,dgoss,20858,Dan Goss,,,,LOCKED,CLEAR,
3,3,07/09/2018 00:00,39283,ROBERT BOSCH LIMITED,Y0152881,25911,191,11,8,650,0,66,NO,YES,NO,NO,NO,14594,89,23,24,258,04/10/2018 01:22,1,0,Germany,15:00:00,LATE,0,0,0,,BCH0101,,0,giuser,1,gi user,,,,,CLEAR,
4,4,07/09/2018 00:00,39779,JOM CAR-PARTS & CAR-HIFI GMBH,Y0152316,51,18,5,2,2,0,3,NO,NO,YES,YES,NO,51,2,24,25,253,04/10/2018 09:37,3,0,Germany,11:00:00,DAY,0,0,0,,JOM0101,,0,giuser,1,gi user,,,,,CLEAR,
5,5,07/09/2018 00:00,39879,ZF TRADING UK LTD,Y0152868,3674,150,104,13,129,0,97,NO,NO,YES,YES,NO,3674,44,0,0, ,24/09/2018 19:09,0,0,Germany,22:00:00,NIGHT,0,0,0,,BOG0701,,0,giuser,1,gi user,,,,,CLEAR,
6,6,07/09/2018 00:00,39880,BREMBO ITALY,Y0152811,2953,73,31,5,53,0,39,YES,YES,NO,NO,NO,2953,16,37,38,258,01/10/2018 13:53,2,0,ITALY,06:00:00,DAY,0,0,0,,BRB0301,,0,dgoss,20858,Dan Goss,,,,,CLEAR,
7,7,07/09/2018 00:00,39894,A1 COMPONENTS,Y0152911,1203,2,6,0,31,0,10,YES,NO,NO,NO,NO,1203,5,0,0, ,30/09/2018 16:39,2,0,UK,17:00:00,LATE,0,0,0,,ACL0201,,0,giuser,1,gi user,,,,,CLEAR,
8,8,07/09/2018 00:00,39957,REMANED,Y0152760,35,9,0,1,10,0,1,YES,NO,NO,NO,NO,35,1,0,0,,12/09/2018 17:07,0,0,SPAIN,12:00:00,DAY,0,0,0,,SEE0601,,0,,,,,,,,CLEAR,
9,9,07/09/2018 00:00,39959,FEBI (UK) LIMITED,Y0152834-2833,937,26,3,1,45,3,9,NO,NO,NO,NO,NO,937,7,0,0,,12/09/2018 17:07,0,0,UK,12:30:00,DAY,0,0,0,,FEB0201,,0,,,,,,,,CLEAR,
10,10,07/09/2018 00:00,39990,VALEO SERVICE UK LTD.,Y0152967-968,209,16,12,2,9,0,10,NO,NO,YES,YES,NO,209,4,0,0, ,02/10/2018 22:11,2,0,UK,05:30:00,DAY,0,0,0,,VAL0101,,0,giuser,1,gi user,,,,,CLEAR,
11,11,07/09/2018 00:00,39991,ZF TRADING UK LTD,Y0152913,10976,319,27,13,518,10,53,NO,NO,NO,NO,NO,10976,80,0,0,,12/09/2018 17:07,0,0,Germany,OFFLOADED,LATE,0,0,0,,BOG0701,,0,,,,,,,,CLEAR,
12,12,07/09/2018 00:00,39993,TMD FRICTION GERMANY,Y0152923,6664,60,0,1,228,0,17,YES,NO,NO,NO,NO,6664,23,17,1,123,25/09/2018 18:32,0,0,Germany,07:00:00,DAY,0,0,0,,TMD0401,,0,giuser,1,gi user,,,,,CLEAR,
