#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
1,IN PROGRESS,CON0095,Y0160835,10/01/2019 00:00,10/01/2019 15:35,Andra Fagaras,258,1,0,0,BAT0501,FCIU5992315,LATE,16:00:00,10,0,28,0, ,1,1512,1512,0,0,28,01/01/1970 00:00,
2,IN PROGRESS,50396,Y0160189,10/01/2019 00:00,10/01/2019 15:33,Ionut Petreanu,257a,5,0,0,ETT0101,EXIDE TECHNOLOGIES (TRANSPORTATION),LATE,15:00:00,10,0,28,0,Poland ,1,1428,1428,0,0,28,01/01/1970 00:00,
3,IN PROGRESS,47823,Y0161160,10/01/2019 00:00,10/01/2019 15:27,Nicoleta Rus,263,4,0,0,TET0401,TETROSYL EXPRESS LTD.,DAY,10:00:00,37,0,25,0,UK,49,6554,6554,95,10,48,01/01/1970 00:00,
4,IN PROGRESS,50394, ,10/01/2019 00:00,10/01/2019 14:22,Valency Fernandes,251A ,17,0,0,BCH0101,ROBERT BOSCH LIMITED, , ,0,0,0,0, ,0,0,0,0,0,0,01/01/1970 00:00,
5,IN PROGRESS,50375,Y0161101-Y0161100,10/01/2019 00:00,10/01/2019 14:19,Valency Fernandes,251a ,5,0,0,CCC0101,CATTON CONTROL CABLES LTD,DAY,12:00:00,15,0,6,0,UK,44,2442,2442,235,4,2,01/01/1970 00:00,
6,IN PROGRESS,53495,Y0161141-Y0161142,10/01/2019 00:00,10/01/2019 14:16,Mitesh Pancholi,247,6,14,21,MOG0101,FEDERAL-MOGUL AFTERMARKET UK LTD,DAY,OFFLOADED,77,0,48,0,Turkey,411,9551,9551,133,73,85,01/01/1970 00:00,
7,COMPLETED,CON2518,Y0160814,10/01/2019 00:00,10/01/2019 13:07,Mitesh Pancholi,259,6,0,0,WAM0101,TCLU3338788,DAY,11:30:00,16,8.067726667,28,0,China,27,2357,2357,152,3,28,01/01/1970 00:00,
8,IN PROGRESS,CON0097,Y0161185,10/01/2019 00:00,10/01/2019 12:56,Mitesh Pancholi,264,4,0,0,BAT0501,TRHU1545792,DAY,10:30:00,10,0,28,0, ,1,1512,1512,0,0,28,01/01/1970 00:00,
9,IN PROGRESS,50371,Y0161185,10/01/2019 00:00,10/01/2019 12:54,Mitesh Pancholi,258,7,0,0,EUS0101,LESJOFORS SPRINGS UK LTD,DAY,12:00:00,22,1.0693675,32,0,UK,21,2880,2880,259,3,35,01/01/1970 00:00,
10,COMPLETED,53421,Y0161162,10/01/2019 00:00,10/01/2019 11:39,Carmen Gugulici,250b,4,0,0,ERA0201,ERA SPA,DAY,08:30:00,5,0,1,0,Italy,12,1234,1234,13,1,0,01/01/1970 00:00,
11,COMPLETED,53256,Y0160980,10/01/2019 00:00,10/01/2019 11:35,Carmen Gugulici,250b,5,0,0,FRI0401,FRIG AIR S.P.A.,DAY,08:30:00,3,0,5,0,Italy,25,183,183,6,7,0,01/01/1970 00:00,
12,IN PROGRESS,47360,264341,10/01/2019 00:00,10/01/2019 11:29,Mitesh Pancholi,248,12,0,0,HOL0501,HOLT LLOYD,DAY,10:00:00,38,2.363055556,11,0,UK,62,8579,8579,66,13,11,01/01/1970 00:00,
13,COMPLETED,51803,264341,10/01/2019 00:00,10/01/2019 11:24,Mitesh Pancholi,260,6,0,0,RAI0301,AP AUTOMOTIVE PRODUCTS,DAY,09:00:00,18,19.06472444,20,0,ITALY,26,1721,1721,143,10,30,01/01/1970 00:00,
14,IN PROGRESS,53427,264341,10/01/2019 00:00,10/01/2019 11:22,Mitesh Pancholi,262,6,0,0,PST,INTER BRANCH  STOCK TRANSFER (PALLETWAYS),DAY,11:00:00,15,0.536466389,0,0, ,0,0,0,0,0,0,01/01/1970 00:00,
